annee,mois,mois2,NAME_2,NAME_1,county,max_temp,min_temp,temp_moyenne,precip_moyenne,couv_nuageuse_moyenne,humidite_moyenne
2013,01,janvier,Alachua,Florida,12001,22.9090909090909,6.29090909090909,14.745454545454525,1.459545454545454,42.030681818181826,74.92761363636365
2013,01,janvier,Alameda,California,06001,12.7,1.22272727272727,7.1477272727272725,1.6154545454545473,31.168181818181825,73.84261363636365
2013,01,janvier,Alcorn,Mississippi,28003,11.6181818181818,1.38636363636364,6.079545454545455,6.655,42.200000000000024,80.10647727272728
2013,01,janvier,Alexander,North Carolina,37003,11.4636363636364,1.14090909090909,5.631818181818183,5.123409090909091,47.3125,72.01125
2013,01,janvier,Alpine,California,06003,4.45454545454545,-13.5636363636364,-4.799999999999997,1.2442045454545443,34.93863636363638,69.42215909090908
2013,01,janvier,Amador,California,06005,11.1818181818182,0.990909090909091,5.355681818181817,3.78375,30.402272727272724,67.31545454545453
2013,01,janvier,Amite,Mississippi,28005,15.9136363636364,4.61363636363636,9.88750000000001,9.77829545454546,57.7534090909091,79.7480681818182
2013,01,janvier,Anson,North Carolina,37007,14.4409090909091,1.51818181818182,7.669318181818181,3.708295454545455,45.3443181818182,75.90454545454543
2013,01,janvier,Appling,Georgia,13001,19.7590909090909,5.05,11.971590909090924,1.3807954545454546,43.420454545454525,77.92647727272728
2013,01,janvier,Atkinson,Georgia,13003,20,5.40909090909091,12.273863636363625,1.5769318181818197,44.32613636363635,76.99011363636365
2013,01,janvier,Attala,Mississippi,28007,12.7045454545455,2.08181818181818,6.973863636363635,8.521363636363635,56.819318181818176,82.42238636363638
2013,01,janvier,Bacon,Georgia,13005,20.45,4.99545454545455,12.35568181818185,1.3798863636363623,40.91931818181818,73.98261363636362
2013,01,janvier,Baker,Florida,12003,21.75,6.2,14.092045454545474,1.7257954545454537,50.45113636363637,78.05443181818183
2013,01,janvier,Baker,Georgia,13007,19.9227272727273,3.20909090909091,11.34659090909091,1.9612500000000008,0.3477272727272728,79.71522727272728
2013,01,janvier,Baldwin,Georgia,13009,18.3954545454545,4.09545454545455,10.846590909090905,3.00647727272727,50.3409090909091,77.42590909090907
2013,01,janvier,Banks,Georgia,13011,13.8363636363636,2.91363636363636,8.075,5.2921590909090925,49.80681818181817,67.0531818181818
2013,01,janvier,Bartow,Georgia,13015,12.8363636363636,1.92727272727273,7.109090909090908,5.513181818181818,58.36931818181817,78.88261363636364
2013,01,janvier,Bay,Florida,12005,19.1181818181818,7.33181818181818,13.79886363636365,1.4857954545454544,23.377272727272725,78.18693181818182
2013,01,janvier,Ben Hill,Georgia,13017,19.8954545454545,5.68636363636364,12.4556818181818,0,47.247727272727275,76.9846590909091
2013,01,janvier,Berrien,Georgia,13019,19.5545454545455,5.41818181818182,12.140909090909075,1.6522727272727271,31.622727272727275,76.08772727272728
2013,01,janvier,Bertie,North Carolina,37015,12.25,1.19090909090909,6.771590909090907,3.77875,40.63522727272728,76.18556818181816
2013,01,janvier,Bibb,Georgia,13021,17.8727272727273,3.28181818181818,10.379545454545447,2.9302272727272722,50.11136363636363,74.1565909090909
2013,01,janvier,Bladen,North Carolina,37017,15.7318181818182,3.54090909090909,9.16931818181818,3.224886363636365,39.63863636363635,75.95556818181818
2013,01,janvier,Bleckley,Georgia,13023,19.0136363636364,3.83636363636364,11.132954545454549,1.3407954545454532,49.597727272727276,73.80090909090907
2013,01,janvier,Brantley,Georgia,13025,20.7727272727273,5.49545454545455,12.87386363636365,0.590681818181818,42.12954545454542,81.13204545454545
2013,01,janvier,Brevard,Florida,12009,23.6727272727273,13.2090909090909,18.9590909090909,1.5956818181818175,31.246590909090898,78.60727272727273
2013,01,janvier,Brooks,Georgia,13027,21.1636363636364,5.76818181818182,13.1284090909091,1.4019318181818177,46.97159090909093,73.94806818181817
2013,01,janvier,Broward,Florida,12011,25.6727272727273,16.5363636363636,21.832954545454548,1.218068181818182,48.35227272727273,73.1173863636364
2013,01,janvier,Brunswick,North Carolina,37019,13.8272727272727,4.34545454545455,9.26590909090909,3.811477272727275,19.640909090909098,76.51988636363635
2013,01,janvier,Bryan,Georgia,13029,19.9818181818182,5.38636363636364,12.1875,1.131136363636362,51.902272727272724,76.07840909090908
2013,01,janvier,Bulloch,Georgia,13031,19.6045454545455,4.23636363636364,11.5340909090909,0.1418181818181819,45.165909090909075,78.81670454545454
2013,01,janvier,Buncombe,North Carolina,37021,10.7045454545455,-0.8,4.569318181818183,5.48636363636364,22.25454545454545,77.18579545454547
2013,01,janvier,Burke,Georgia,13033,18.2227272727273,3.94545454545455,10.594318181818183,2.2314772727272705,42.512500000000024,71.23886363636365
2013,01,janvier,Burke,North Carolina,37023,11.6363636363636,0.368181818181818,5.39318181818182,6.25625,49.65454545454545,75.37284090909093
2013,01,janvier,Butte,California,06007,11.8727272727273,0.0818181818181818,5.493181818181817,2.337272727272726,31.799999999999976,78.67022727272725
2013,01,janvier,Butts,Georgia,13035,15.4409090909091,2.91363636363636,8.803409090909092,4.037613636363638,61.90795454545453,72.35693181818183
2013,01,janvier,Calaveras,California,06009,11.8909090909091,-1.30909090909091,4.23977272727273,4.010454545454545,32.45795454545453,79.17295454545453
2013,01,janvier,Caldwell,North Carolina,37027,10.8090909090909,0.372727272727273,4.976136363636365,5.871477272727272,48.8090909090909,75.1355681818182
2013,01,janvier,Calhoun,Florida,12013,19.9,6.51363636363636,13.380681818181825,1.7361363636363627,39.77840909090908,77.64227272727273
