Nom,accuracy,sens,spec,roc_auc
Logit_int_sqr,0.7849883855981417,0.7793125602312881,0.7896688741721855,0.8740967912811687
Logit_int_sqr_spline,0.783246225319396,0.7815611949887569,0.784635761589404,0.8748934504523862
Lasso_int_sqr,0.7848432055749129,0.7809187279151943,0.7880794701986755,0.8740385012221766
Ridge_int_sqr,0.7820847851335656,0.7497590748474141,0.8087417218543046,0.8656903436347894
RandomForest_200,0.811411149825784,0.799229039511725,0.8214569536423841,0.8971833562735207
SVM,0.8077816492450639,0.8030838419530999,0.8116556291390729,0.8740051439913373
